2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 7: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 8: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 9: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 10: Microphone Array (Realtek HD Audio Mic input), Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 11: Speakers (Realtek HD Audio output), Output Channels: 2
2025-05-16 22:13:01.183 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 22:13:03.283 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 22:13:03.299 | INFO     | __main__:main:43 - Voice assistant started. Initiating real-time conversation.
2025-05-16 22:13:06.801 | INFO     | src.audio_handler:play_audio:62 - Audio buffer size: 58176 bytes
2025-05-16 22:13:13.447 | INFO     | src.audio_handler:play_audio:68 - MP3 to WAV conversion successful
2025-05-16 22:13:13.447 | INFO     | src.audio_handler:play_audio:75 - Attempting playback on device index: 2
2025-05-16 22:13:21.227 | INFO     | src.audio_handler:play_audio:86 - Audio playback completed.
2025-05-16 22:13:21.653 | INFO     | src.audio_handler:capture_audio:30 - Capturing audio...
2025-05-16 22:13:29.335 | INFO     | src.audio_handler:capture_audio:54 - Captured audio length: 122880 bytes
2025-05-16 22:13:40.394 | INFO     | src.audio_handler:play_audio:62 - Audio buffer size: 106560 bytes
2025-05-16 22:13:40.565 | INFO     | src.audio_handler:play_audio:68 - MP3 to WAV conversion successful
2025-05-16 22:13:40.566 | INFO     | src.audio_handler:play_audio:75 - Attempting playback on device index: 2
2025-05-16 22:13:54.351 | INFO     | src.audio_handler:play_audio:86 - Audio playback completed.
2025-05-16 22:13:54.525 | INFO     | src.audio_handler:capture_audio:30 - Capturing audio...
2025-05-16 22:14:32.856 | INFO     | __main__:main:86 - Shutting down voice assistant.
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:14 - Available audio devices:
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 0: Microsoft Sound Mapper - Input, Output Channels: 0
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 1: Microphone Array (Realtek High , Output Channels: 0
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 2: Microsoft Sound Mapper - Output, Output Channels: 2
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 3: Speaker/HP (Realtek High Defini, Output Channels: 2
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 4: Primary Sound Capture Driver, Output Channels: 0
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 5: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 6: Primary Sound Driver, Output Channels: 2
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 7: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 22:28:24.239 | INFO     | src.audio_handler:__init__:18 - Device 8: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 22:28:24.255 | INFO     | src.audio_handler:__init__:18 - Device 9: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 22:28:24.255 | INFO     | src.audio_handler:__init__:18 - Device 10: Microphone Array (Realtek HD Audio Mic input), Output Channels: 0
2025-05-16 22:28:24.255 | INFO     | src.audio_handler:__init__:18 - Device 11: Speakers (Realtek HD Audio output), Output Channels: 2
2025-05-16 22:28:24.255 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 22:28:26.323 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 22:28:26.323 | INFO     | __main__:main:43 - Voice assistant started. Initiating real-time conversation.
2025-05-16 22:28:26.323 | INFO     | src.audio_handler:play_audio:59 - Playing audio for text: Hello, this is Horizon Telecom. My name is Assistant. May I have your name, please?
